Wall time,Step,Value
1713262880,3000,1659
1713262975,6000,1659
1713263074,9000,1659
1713263178,12000,1659
1713263278,15000,1659
1713263376,18000,1659
1713263474,21000,1659
1713263571,24000,1659
1713263669,27000,1659
1713263770,30000,1659
1713263872,33000,1659
1713263974,36000,1659
1713264075,39000,1659
1713264176,42000,1659
1713264277,45000,1659
1713264379,48000,1659
1713264480,51000,1659
1713264582,54000,1659
1713264679,57000,1659
1713264774,60000,1659
1713264869,63000,1659
1713264962,66000,1659
1713265055,69000,1659
1713265148,72000,1659
1713265241,75000,1659
1713265338,78000,1659
1713265439,81000,1659
1713265536,84000,1659
1713265635,87000,1659
1713265730,90000,1659
1713265827,93000,1659
1713265922,96000,1659
1713266017,99000,1659
1713266116,102000,1659
