Wall time,Step,Value
1713179908.4559262,227,1288.8316650390625
1713179913.8311672,306,858.0655517578125
1713179925.7209218,598,1106.961669921875
1713179935.231608,804,1117.8905029296875
1713179942.3700004,941,1045.1851806640625
1713179951.7704792,1151,1060.06201171875
1713179963.1299348,1425,1104.9482421875
1713179973.7948644,1673,1138.8709716796875
1713179983.579505,1895,1153.7906494140625
1713179991.5774517,2057,1130.283203125
1713180000.1526134,2239,1124.480224609375
1713180011.6755493,2512,1166.505615234375
1713180020.805067,2711,1164.9588623046875
1713180032.0473225,2973,1182.2803955078125
1713180044.9289472,3287,1209.9779052734375
1713180057.6912208,3599,1242.22998046875
1713180068.6895502,3851,1254.3095703125
1713180078.647415,4071,1254.7330322265625
1713180090.9740956,4364,1279.1817626953125
1713180102.367759,4627,1285.0179443359375
1713180115.3000379,4935,1306.8843994140625
1713180127.7651627,5232,1319.466064453125
1713180140.323427,5531,1338.5169677734375
1713180153.2488701,5838,1355.3868408203125
1713180164.4397843,6092,1361.53662109375
1713180176.9467318,6387,1380.4598388671875
1713180188.5308132,6651,1426.4952392578125
1713180201.219154,6948,1433.013671875
1713180213.2416303,7223,1451.2239990234375
1713180223.898969,7459,1475.9940185546875
1713180237.4284499,7780,1499.42822265625
1713180250.8919134,8099,1513.12841796875
1713180263.7176158,8395,1528.7723388671875
1713180276.630119,8693,1546.1728515625
1713180289.59873,8993,1580.0765380859375
1713180302.6117175,9293,1608.0623779296875
1713180315.705752,9593,1613.8289794921875
1713180328.806152,9895,1638.7177734375
1713180342.001541,10198,1652.8419189453125
1713180354.9897554,10496,1659.85791015625
1713180368.1441293,10797,1661.2884521484375
1713180381.1817386,11095,1673.9337158203125
1713180394.1841936,11393,1694.0484619140625
1713180407.2364802,11693,1696.0869140625
1713180420.293969,11993,1710.7864990234375
1713180433.3872364,12293,1711.4793701171875
1713180446.4574654,12593,1718.7742919921875
1713180459.6002443,12893,1719.1693115234375
1713180472.698228,13193,1719.7078857421875
1713180485.7203321,13492,1730.1790771484375
1713180498.826853,13789,1730.4478759765625
1713180510.038599,14034,1725.2347412109375
1713180523.0478132,14334,1724.74169921875
1713180535.0212243,14601,1721.02587890625
1713180547.981118,14900,1736.8251953125
1713180561.019073,15197,1738.818115234375
1713180573.9333203,15491,1740.936767578125
1713180586.857138,15785,1741.0753173828125
1713180597.2015371,16004,1727.7957763671875
1713180610.2121909,16299,1728.1783447265625
1713180623.1800246,16596,1728.3052978515625
1713180636.0077188,16888,1728.239501953125
1713180649.2089982,17186,1727.1923828125
1713180662.0692594,17481,1727.58349609375
1713180673.8413985,17744,1721.9278564453125
1713180686.966427,18045,1721.933349609375
1713180699.9447227,18344,1722.37548828125
1713180712.9372053,18641,1722.6844482421875
1713180725.8975246,18937,1722.8314208984375
1713180739.011369,19238,1722.931396484375
1713180752.0454726,19535,1723.179443359375
1713180765.016706,19830,1720.98095703125
1713180777.8550584,20124,1721.0557861328125
1713180791.1712618,20429,1721.01416015625
1713180804.1010354,20725,1721.0643310546875
1713180817.0299885,21023,1721.1422119140625
1713180829.9124002,21317,1733.990966796875
1713180842.768056,21612,1734.414794921875
1713180855.591128,21904,1744.965087890625
1713180868.6448028,22201,1745.0418701171875
1713180879.3796234,22434,1730.079833984375
1713180892.3557174,22730,1729.8936767578125
1713180905.2514265,23026,1729.8125
1713180918.1119506,23320,1745.8529052734375
1713180929.616135,23574,1735.687255859375
1713180940.8729196,23820,1724.57861328125
1713180953.738081,24116,1724.60595703125
1713180966.5965397,24412,1725.4796142578125
1713180979.539507,24709,1723.9241943359375
1713180992.4046028,25005,1729.3485107421875
1713181003.3465624,25241,1714.922607421875
1713181016.3397694,25538,1714.474609375
1713181029.2496197,25834,1714.176513671875
1713181042.165032,26131,1713.841064453125
1713181055.1580002,26428,1713.943603515625
1713181068.0684853,26724,1713.9678955078125
1713181081.0359423,27020,1716.0753173828125
1713181093.8500872,27314,1716.291748046875
1713181102.7858403,27491,1690.744873046875
1713181115.808835,27788,1690.6846923828125
1713181128.7624547,28082,1690.703369140625
1713181141.6526227,28378,1690.83642578125
1713181154.59824,28674,1691.0560302734375
1713181165.863078,28922,1680.1243896484375
1713181178.88711,29218,1680.137451171875
1713181191.8672333,29514,1695.24072265625
1713181203.27826,29763,1684.982666015625
1713181216.2949924,30059,1685.215087890625
1713181229.1946352,30352,1683.7081298828125
1713181242.1361675,30646,1693.7056884765625
1713181253.8522062,30903,1695.1416015625
1713181266.6994927,31196,1694.861083984375
1713181279.7199485,31492,1695.0966796875
1713181292.789818,31787,1696.498291015625
1713181305.754162,32083,1696.267822265625
1713181317.6840873,32348,1703.427001953125
1713181330.7735276,32645,1703.551025390625
1713181343.7631896,32941,1703.745361328125
1713181356.4240358,33227,1700.532958984375
1713181368.2681527,33488,1692.113525390625
1713181378.402173,33699,1670.13525390625
1713181388.048728,33893,1645.7498779296875
1713181401.111117,34189,1645.6280517578125
1713181414.1311285,34485,1671.9134521484375
1713181427.170926,34781,1671.974365234375
1713181440.254459,35077,1672.232177734375
1713181453.2463927,35373,1672.484619140625
1713181466.175557,35668,1672.5777587890625
1713181479.153095,35964,1683.421875
1713181492.0677617,36258,1683.3353271484375
1713181503.3089545,36503,1672.159423828125
1713181516.288935,36798,1682.74169921875
1713181529.131831,37092,1682.67431640625
1713181540.5251606,37340,1673.3240966796875
1713181553.541625,37637,1673.1114501953125
1713181564.5360491,37876,1669.5562744140625
1713181575.6042783,38114,1656.2659912109375
1713181588.567137,38409,1656.2310791015625
1713181601.4867938,38704,1656.3267822265625
1713181614.430771,39000,1656.8956298828125
1713181627.4582043,39295,1664.60400390625
1713181640.4191496,39589,1664.7041015625
1713181653.3171823,39882,1664.5745849609375
1713181666.2139482,40178,1668.054443359375
1713181679.1575413,40473,1676.569091796875
1713181692.1655178,40769,1698.6695556640625
