Wall time,Step,Value
1713166746.8788106,328,1697.16796875
1713166753.8402672,586,1513.7022705078125
1713166761.8434136,913,1576.19482421875
1713166768.738808,1170,1516.585205078125
1713166776.852305,1497,1553.2274169921875
1713166784.8739223,1823,1577.201416015625
1713166792.921248,2149,1594.58447265625
1713166801.0105205,2476,1607.5772705078125
1713166809.0592456,2802,1618.1051025390625
1713166817.1453774,3127,1626.7025146484375
1713166825.2162857,3452,1633.4569091796875
1713166833.3816462,3778,1639.0010986328125
1713166841.5092278,4102,1644.5653076171875
1713166849.5939019,4427,1648.96826171875
1713166856.8523993,4697,1636.7733154296875
1713166864.284944,4973,1626.27197265625
1713166872.224634,5281,1632.858154296875
1713166880.3880582,5605,1636.945556640625
1713166888.4700968,5928,1641.0771484375
1713166896.731603,6251,1644.374267578125
1713166904.7010124,6563,1648.62060546875
1713166912.0284019,6836,1640.3782958984375
1713166918.8251495,7079,1635.7421875
1713166926.697944,7387,1640.2255859375
1713166934.8225236,7707,1643.3712158203125
1713166942.6456194,8008,1640.4248046875
1713166950.3325837,8303,1658.2960205078125
1713166957.890193,8580,1649.5367431640625
1713166965.8038018,8878,1666.6783447265625
1713166974.3146229,9206,1666.757568359375
1713166982.663304,9528,1667.3800048828125
1713166991.0859473,9850,1667.7469482421875
1713166998.9196846,10149,1670.4766845703125
1713167007.3085835,10468,1671.016845703125
1713167015.422227,10779,1672.484375
1713167024.3215778,11099,1673.1400146484375
1713167033.2200844,11419,1673.6314697265625
1713167041.8420324,11726,1675.021240234375
1713167050.3835359,12037,1676.4697265625
1713167059.3144681,12353,1686.869140625
1713167067.6087208,12645,1699.052734375
1713167076.4861372,12962,1698.6722412109375
1713167085.2533927,13284,1699.086181640625
1713167094.0482402,13604,1699.105224609375
1713167102.7232645,13922,1699.813232421875
1713167111.6265414,14249,1698.6973876953125
1713167120.3877158,14567,1708.9105224609375
1713167128.5732265,14861,1718.3211669921875
1713167136.5102851,15142,1720.6180419921875
1713167145.2445235,15466,1720.381103515625
1713167153.95845,15790,1723.9229736328125
1713167162.7029564,16114,1721.3411865234375
1713167171.3588922,16436,1730.54150390625
1713167178.023693,16643,1705.777587890625
1713167183.5556805,16792,1673.0692138671875
1713167192.2762687,17114,1673.103515625
1713167201.0867853,17436,1673.2188720703125
1713167209.901526,17761,1670.944091796875
1713167218.7378154,18087,1670.486083984375
1713167227.583377,18416,1668.7349853515625
1713167236.5940232,18743,1668.221435546875
1713167245.5736587,19069,1667.9915771484375
1713167254.4471786,19388,1666.888671875
1713167261.0075407,19594,1643.18994140625
1713167269.9898107,19925,1642.214111328125
1713167279.0159845,20252,1639.5714111328125
1713167287.8805604,20567,1639.3851318359375
1713167297.0665357,20885,1639.735107421875
1713167306.1365285,21206,1639.7142333984375
1713167314.92147,21525,1639.68798828125
1713167323.7176287,21844,1640.31396484375
1713167332.0900662,22142,1642.1500244140625
1713167341.0056877,22458,1640.5130615234375
1713167349.8446631,22770,1637.6827392578125
1713167358.7315366,23085,1638.2755126953125
1713167367.498324,23398,1638.9957275390625
1713167376.7273257,23724,1638.736328125
1713167385.5586245,24041,1639.33642578125
1713167394.6962397,24369,1661.57373046875
1713167403.6845334,24690,1694.81103515625
1713167412.3693483,24999,1695.948974609375
1713167421.0540364,25313,1696.63671875
1713167430.0748868,25641,1696.3765869140625
1713167438.8302295,25952,1697.812255859375
1713167446.9318666,26224,1688.46484375
1713167455.7260096,26542,1689.36181640625
1713167464.7516644,26868,1689.257080078125
1713167473.5776849,27178,1690.20458984375
1713167482.5883021,27510,1711.922119140625
1713167491.051278,27819,1713.57421875
1713167498.9949658,28125,1715.2706298828125
1713167507.0515735,28440,1715.7313232421875
1713167515.413245,28764,1715.1907958984375
1713167523.131045,29049,1708.341064453125
1713167530.945753,29347,1709.776611328125
1713167539.1748202,29652,1710.570556640625
1713167547.469148,29979,1707.9384765625
1713167556.6601355,30314,1706.15771484375
1713167565.6087303,30631,1705.8050537109375
1713167574.608663,30958,1704.67724609375
1713167583.0577486,31282,1704.0220947265625
1713167591.6184604,31614,1703.2427978515625
1713167599.8858445,31936,1702.7646484375
1713167606.873019,32183,1692.3778076171875
1713167615.1642094,32505,1692.2178955078125
1713167622.8952112,32769,1680.048095703125
1713167631.4219058,33087,1679.755126953125
1713167640.0575652,33406,1680.3909912109375
1713167647.869222,33668,1668.4456787109375
1713167656.0275016,33937,1666.8155517578125
1713167664.8254006,34262,1666.010498046875
1713167673.52328,34576,1667.0382080078125
1713167682.2776167,34892,1666.4254150390625
1713167691.126302,35215,1667.4134521484375
1713167699.9305146,35537,1666.34375
1713167708.8096762,35863,1664.599853515625
1713167717.49175,36176,1664.42431640625
1713167726.5749328,36496,1664.7803955078125
1713167735.7616577,36823,1671.2694091796875
1713167743.6077259,37091,1658.299072265625
1713167752.568524,37411,1657.4227294921875
1713167761.596437,37731,1658.08984375
1713167770.4495378,38054,1659.3367919921875
1713167779.310151,38374,1659.248291015625
1713167787.8935795,38695,1659.6690673828125
1713167796.9698944,39022,1659.156005859375
1713167806.0743642,39350,1659.8629150390625
1713167814.6492438,39660,1660.9754638671875
1713167823.365686,39970,1673.11474609375
1713167832.2038574,40294,1673.10595703125
1713167841.016801,40612,1684.601806640625
1713167848.634434,40862,1669.696044921875
1713167857.1493895,41172,1670.6639404296875
1713167865.7074704,41478,1682.934814453125
1713167874.91503,41801,1694.2991943359375
1713167883.8199337,42121,1694.51220703125
1713167892.93008,42442,1693.8316650390625
1713167901.8208451,42766,1692.94970703125
1713167909.5432267,43027,1682.4942626953125
1713167918.4305882,43355,1681.719482421875
1713167927.3952563,43681,1681.5732421875
1713167936.3472307,44011,1680.244873046875
1713167945.6041405,44340,1679.5084228515625
1713167955.1398537,44673,1678.863037109375
1713167964.2564058,44999,1689.7760009765625
1713167973.3836977,45331,1688.7353515625
1713167982.5829918,45666,1687.34814453125
1713167991.9259002,45993,1686.7752685546875
1713168000.9086475,46313,1686.5166015625
1713168009.8534818,46634,1686.59521484375
1713168018.7612858,46963,1686.4144287109375
1713168026.5299525,47229,1676.5986328125
1713168035.237959,47550,1675.4222412109375
1713168044.0629816,47870,1674.0400390625
1713168052.6220975,48190,1674.13427734375
1713168061.1757355,48510,1673.6478271484375
1713168068.8734639,48781,1678.934814453125
1713168077.3751366,49099,1678.031494140625
1713168085.0152302,49366,1667.5367431640625
1713168093.6471496,49689,1667.6131591796875
1713168102.3658357,50011,1667.5230712890625
1713168111.0219936,50335,1667.5
1713168119.6737382,50661,1667.734130859375
1713168128.428617,50987,1677.66650390625
1713168136.9935257,51309,1678.4205322265625
1713168144.7052207,51577,1667.6153564453125
1713168151.259135,51786,1646.0882568359375
1713168159.9041514,52109,1646.2130126953125
1713168168.4124286,52426,1647.5302734375
1713168177.0896492,52751,1647.600830078125
1713168185.8128579,53076,1648.03369140625
1713168194.6810641,53403,1648.7333984375
1713168203.3603077,53731,1648.805419921875
1713168211.9446154,54059,1648.62744140625
1713168220.5156167,54387,1648.4478759765625
1713168229.1505644,54711,1649.02978515625
1713168237.8235877,55039,1658.6806640625
1713168246.5955174,55367,1658.06787109375
1713168255.3382423,55686,1658.0162353515625
1713168263.9954324,56009,1657.9627685546875
1713168272.7151809,56335,1657.78564453125
1713168281.4778342,56665,1666.6781005859375
1713168290.1593812,56994,1665.842529296875
1713168298.7328734,57318,1674.99365234375
1713168305.4146845,57535,1653.4190673828125
1713168314.125112,57865,1653.111083984375
1713168322.7817478,58190,1652.89501953125
1713168331.7103283,58516,1652.6295166015625
1713168340.5245204,58838,1652.9285888671875
1713168349.2686157,59164,1652.52001953125
1713168358.0689342,59492,1663.4681396484375
1713168366.6881738,59817,1685.5257568359375
1713168375.339325,60144,1685.4638671875
1713168384.0304725,60470,1684.8955078125
1713168392.800502,60800,1684.361328125
1713168401.5876129,61127,1684.273681640625
1713168410.3240519,61454,1684.37255859375
