Step,Value
0,1697.16796875
500,1544.9485473632812
1000,1534.9063110351562
1500,1577.201416015625
2000,1601.0808715820312
2500,1618.1051025390625
3000,1630.0797119140625
3500,1639.0010986328125
4000,1646.7667846679688
4500,1631.5226440429688
5000,1632.858154296875
5500,1639.0113525390625
6000,1644.374267578125
6500,1644.4994506835938
7000,1637.98388671875
7500,1643.3712158203125
8000,1649.3604125976562
8500,1658.1075439453125
9000,1666.757568359375
9500,1667.5634765625
10000,1670.7467651367188
10500,1672.484375
11000,1673.3857421875
11500,1675.021240234375
12000,1681.66943359375
12500,1698.8624877929688
13000,1699.086181640625
13500,1699.459228515625
14000,1698.6973876953125
14500,1713.6158447265625
15000,1720.4995727539062
15500,1723.9229736328125
16000,1725.9413452148438
16500,1689.4234008789062
17000,1673.1611938476562
17500,1670.944091796875
18000,1669.6105346679688
18500,1668.221435546875
19000,1667.4401245117188
19500,1642.7020263671875
20000,1639.5714111328125
20500,1639.5601196289062
21000,1639.7142333984375
21500,1640.0009765625
22000,1641.33154296875
22500,1637.6827392578125
23000,1638.6356201171875
23500,1638.736328125
24000,1650.455078125
24500,1695.3800048828125
25000,1696.63671875
25500,1697.0944213867188
26000,1688.46484375
26500,1689.3094482421875
27000,1690.20458984375
27500,1712.7481689453125
28000,1715.5009765625
28500,1715.1907958984375
29000,1709.058837890625
29500,1709.2545166015625
30000,1706.15771484375
30500,1705.2411499023438
31000,1704.0220947265625
31500,1703.0037231445312
32000,1692.3778076171875
32500,1686.1329956054688
33000,1680.0730590820312
33500,1667.630615234375
34000,1666.010498046875
34500,1666.7318115234375
35000,1667.4134521484375
35500,1665.4718017578125
36000,1664.6023559570312
36500,1671.2694091796875
37000,1657.8609008789062
37500,1658.08984375
38000,1659.2925415039062
38500,1659.6690673828125
39000,1659.5094604492188
39500,1667.0451049804688
40000,1673.10595703125
40500,1677.14892578125
41000,1676.7993774414062
41500,1694.2991943359375
42000,1694.1719360351562
42500,1692.94970703125
43000,1682.1068725585938
43500,1681.5732421875
44000,1679.8766479492188
44500,1684.3195190429688
45000,1688.7353515625
45500,1687.0617065429688
46000,1686.5166015625
46500,1686.5048217773438
47000,1676.5986328125
47500,1674.7311401367188
48000,1674.13427734375
48500,1676.2913208007812
49000,1672.7841186523438
49500,1667.6131591796875
50000,1667.5115356445312
50500,1672.7003173828125
51000,1678.4205322265625
51500,1656.851806640625
52000,1646.8716430664062
52500,1647.600830078125
53000,1648.383544921875
53500,1648.805419921875
54000,1648.5376586914062
54500,1649.02978515625
55000,1658.374267578125
55500,1658.0162353515625
56000,1657.8742065429688
56500,1666.2603149414062
57000,1674.99365234375
57500,1653.2650756835938
58000,1652.89501953125
58500,1652.779052734375
59000,1657.9940795898438
59500,1685.5257568359375
60000,1685.1796875
60500,1684.361328125
61000,1684.3231201171875
61500,1684.572265625
62000,1684.7483520507812
62500,1685.3922119140625
63000,1685.791015625
63500,1685.837158203125
64000,1686.0642700195312
64500,1686.2283935546875
65000,1686.5682983398438
65500,1708.0065307617188
66000,1707.896484375
66500,1707.9692993164062
67000,1707.9229736328125
67500,1708.0427856445312
68000,1708.0286865234375
68500,1697.3807373046875
69000,1692.0407104492188
69500,1686.875732421875
70000,1687.1008911132812
70500,1674.855224609375
71000,1674.8162231445312
71500,1674.4078979492188
72000,1674.0240478515625
72500,1674.2704467773438
73000,1674.493896484375
73500,1674.6592407226562
74000,1675.0042724609375
74500,1675.1050415039062
75000,1674.967041015625
75500,1674.7124633789062
76000,1674.2218017578125
76500,1684.6535034179688
77000,1684.8421630859375
77500,1695.8485107421875
78000,1695.0142822265625
78500,1706.21044921875
79000,1697.9951171875
79500,1698.2579345703125
80000,1698.3142700195312
80500,1698.6632080078125
81000,1698.6856079101562
81500,1693.7018432617188
82000,1688.4154052734375
82500,1688.5822143554688
83000,1689.0062255859375
83500,1689.980224609375
84000,1691.04052734375
84500,1691.359130859375
85000,1691.1568603515625
85500,1691.3213500976562
86000,1691.228759765625
86500,1691.0721435546875
87000,1699.2218017578125
87500,1699.0250244140625
88000,1699.4501342773438
88500,1698.9012451171875
89000,1699.2074584960938
89500,1699.678466796875
90000,1704.4813842773438
90500,1687.6405029296875
91000,1687.8033447265625
91500,1688.2750854492188
92000,1680.9974365234375
92500,1673.88037109375
93000,1673.9450073242188
93500,1668.0477294921875
94000,1663.50634765625
94500,1665.127685546875
95000,1665.9454345703125
95500,1666.4585571289062
96000,1665.6519775390625
96500,1667.2117919921875
97000,1667.8856811523438
97500,1667.407470703125
98000,1686.9546508789062
98500,1690.8607177734375
99000,1689.596435546875
99500,1687.1995849609375
