Wall time,Step,Value
1713206656.4879909,225,1124.2923583984375
1713206665.6966274,550,1300.36181640625
1713206673.7047465,819,1299.250244140625
1713206681.528267,1076,1282.9354248046875
1713206689.0813944,1318,1275.419921875
1713206696.869067,1572,1285.318115234375
1713206705.2074199,1855,1302.982421875
1713206713.9054914,2152,1329.1160888671875
1713206722.5836205,2450,1340.46142578125
1713206728.8814867,2629,1292.8853759765625
1713206735.9540188,2847,1269.5216064453125
1713206743.0202417,3064,1252.275390625
1713206750.742871,3313,1250.8770751953125
1713206759.5752888,3610,1259.3326416015625
1713206766.4138696,3813,1240.0662841796875
1713206775.8044643,4144,1265.2469482421875
1713206782.9193406,4361,1254.697021484375
1713206791.3740785,4643,1265.4259033203125
1713206799.8553476,4923,1277.2054443359375
1713206807.958899,5178,1271.7088623046875
1713206814.7223773,5375,1258.1712646484375
1713206821.6255078,5577,1245.8438720703125
1713206828.9788923,5804,1242.810791015625
1713206836.983797,6058,1238.814697265625
1713206844.5815341,6292,1234.603515625
1713206853.4399006,6585,1252.410888671875
1713206861.8791847,6858,1246.403076171875
1713206869.6901,7101,1245.88330078125
1713206877.804708,7353,1244.5224609375
1713206885.3660986,7580,1242.4993896484375
1713206894.7469666,7890,1247.496337890625
1713206902.3684287,8119,1238.352294921875
1713206911.4585826,8420,1241.2186279296875
1713206919.8534296,8687,1239.5965576171875
1713206929.777693,9023,1272.3651123046875
1713206938.1912024,9289,1286.863037109375
1713206947.1676555,9577,1306.2237548828125
1713206954.8480573,9806,1305.934814453125
1713206964.6313493,10132,1319.142333984375
1713206974.0394595,10436,1339.25927734375
1713206981.6096752,10657,1320.8016357421875
1713206988.9329653,10867,1322.1356201171875
1713206998.3094616,11177,1328.5152587890625
1713207007.212011,11462,1327.476806640625
1713207013.1679263,11610,1309.8843994140625
1713207021.8619707,11886,1329.8236083984375
1713207031.2774677,12201,1359.6357421875
1713207038.4791331,12410,1357.7406005859375
1713207047.2010674,12687,1369.337158203125
1713207053.306326,12844,1357.25732421875
1713207060.9535873,13072,1343.7200927734375
1713207068.1842794,13282,1335.95751953125
1713207076.094835,13523,1336.3536376953125
1713207084.2932632,13776,1341.6728515625
1713207093.4716022,14072,1356.12255859375
1713207100.3363452,14264,1337.07763671875
1713207109.9729471,14580,1358.919189453125
1713207117.877963,14816,1345.9105224609375
1713207125.7845576,15051,1340.6583251953125
1713207134.6408308,15332,1333.7012939453125
1713207142.174892,15555,1325.3887939453125
1713207151.1234167,15843,1325.901611328125
1713207159.9884791,16127,1338.2216796875
