Step,Value
0,1448.5384521484375
500,1391.4124755859375
1000,1201.3823852539062
1500,1224.8547770182292
2000,1228.1640014648438
2500,1236.62548828125
3000,1249.7177734375
3500,1257.8779296875
4000,1260.2159423828125
4500,1229.8705647786458
5000,1242.6887817382812
5500,1239.699462890625
6000,1234.9910278320312
6500,1270.4107055664062
7000,1292.1531982421875
7500,1314.8170166015625
8000,1332.2926839192708
8500,1329.3753051757812
9000,1342.0003662109375
9500,1344.6828002929688
10000,1345.701904296875
10500,1383.1979370117188
11000,1403.9124145507812
11500,1425.4879760742188
12000,1446.697265625
12500,1478.530517578125
13000,1476.38916015625
13500,1486.6503295898438
14000,1491.6787109375
14500,1530.0338134765625
15000,1534.5355834960938
15500,1540.1358642578125
16000,1567.5006103515625
16500,1585.073974609375
17000,1577.8323974609375
17500,1598.09375
18000,1603.9730834960938
18500,1605.6392822265625
19000,1610.2740478515625
19500,1599.3248901367188
20000,1597.0502319335938
20500,1582.287353515625
21000,1575.084716796875
21500,1567.1722412109375
22000,1556.8955688476562
22500,1534.9285888671875
23000,1539.548583984375
23500,1536.4965209960938
24000,1554.7713623046875
24500,1546.1771850585938
25000,1548.7161865234375
25500,1549.3728637695312
26000,1552.3334350585938
26500,1544.4061889648438
27000,1513.1908365885417
27500,1512.2730712890625
28000,1514.2894897460938
28500,1555.1910400390625
29000,1560.6016845703125
29500,1566.7068481445312
30000,1558.7979736328125
30500,1552.487060546875
31000,1558.2989501953125
31500,1552.3853759765625
32000,1552.488525390625
32500,1542.2572631835938
33000,1572.5568237304688
33500,1589.1585083007812
34000,1613.9931640625
34500,1611.5789184570312
35000,1603.2191772460938
35500,1601.4189453125
36000,1611.8687744140625
36500,1615.2802124023438
37000,1625.7412719726562
37500,1610.5909423828125
38000,1622.3250732421875
38500,1626.8430786132812
39000,1612.8076171875
39500,1615.3793334960938
40000,1622.3345336914062
40500,1632.37060546875
41000,1622.544921875
41500,1625.8994140625
42000,1631.2725219726562
42500,1638.1202392578125
43000,1625.0810546875
43500,1627.6370239257812
44000,1628.1378173828125
44500,1646.0551147460938
45000,1635.0366821289062
45500,1627.8446044921875
46000,1644.0943603515625
46500,1647.5760498046875
47000,1645.018310546875
47500,1644.1112060546875
48000,1650.0092163085938
48500,1634.8206787109375
49000,1625.853759765625
49500,1629.8090209960938
50000,1632.583251953125
50500,1652.8988037109375
51000,1648.6993408203125
51500,1641.7525024414062
52000,1655.5885620117188
52500,1654.3275146484375
53000,1656.0535888671875
53500,1659.6990966796875
54000,1659.7567138671875
54500,1651.7320556640625
55000,1655.627685546875
55500,1677.6624145507812
56000,1693.0968627929688
56500,1695.6719970703125
57000,1681.2419840494792
57500,1675.362548828125
58000,1679.4320678710938
58500,1680.2693481445312
59000,1681.1246337890625
59500,1690.0827026367188
60000,1687.5803833007812
60500,1682.436767578125
61000,1667.3142700195312
61500,1671.8460693359375
62000,1651.5399169921875
62500,1651.3335571289062
63000,1649.7598266601562
63500,1647.0774536132812
64000,1672.8681640625
64500,1678.2822265625
65000,1676.6544189453125
65500,1682.239013671875
66000,1681.8349609375
66500,1681.5817260742188
67000,1687.6596069335938
67500,1675.450439453125
68000,1689.8992919921875
68500,1698.3653564453125
69000,1712.0317993164062
69500,1719.9534912109375
70000,1716.5145263671875
70500,1683.6363525390625
71000,1662.2998046875
71500,1666.5628051757812
72000,1669.353515625
72500,1671.1070556640625
73000,1665.4798583984375
73500,1655.6663818359375
74000,1654.8204956054688
74500,1668.9935302734375
75000,1674.3186645507812
75500,1674.9530029296875
76000,1677.95361328125
76500,1677.984619140625
77000,1681.4913330078125
77500,1711.09814453125
78000,1732.2056274414062
78500,1728.7908325195312
79000,1728.751708984375
79500,1728.4385986328125
80000,1730.7346801757812
80500,1720.332275390625
81000,1734.76513671875
81500,1730.607177734375
82000,1726.0892944335938
82500,1705.1427612304688
83000,1704.2817993164062
83500,1704.2882080078125
84000,1703.3580322265625
84500,1702.2410888671875
85000,1688.5514526367188
85500,1688.8887939453125
86000,1687.6104736328125
86500,1687.555419921875
87000,1688.0933837890625
87500,1704.8760986328125
88000,1703.8905639648438
88500,1697.45556640625
89000,1696.4369506835938
89500,1716.1329345703125
90000,1718.5728759765625
90500,1717.9564208984375
91000,1716.0697021484375
91500,1716.7965087890625
92000,1710.3994140625
92500,1721.3036499023438
93000,1734.2259521484375
93500,1727.656005859375
94000,1720.391845703125
94500,1719.7777709960938
95000,1718.2029418945312
95500,1718.4337158203125
96000,1725.107666015625
96500,1729.217529296875
97000,1726.414306640625
97500,1724.9739379882812
98000,1727.0872192382812
98500,1724.77978515625
99000,1723.9736328125
99500,1719.796630859375
