mean_reward,std_reward,crash_count,mean_sim_time,Model_types,Hdv_intervals,Lane_counts,,,,,,,,,,MY,COOP,Plexe
1650.459797,0,0,190,CommPL,2,2,,1658.33399,0.049888765,0,190,CommPL,2,2,,1587.526101,1634.665316,1591.122527
1509.120113,0,0,205,CommPL,2,3,,1672.821541,1.141271782,0,189.4,CoOP,2,2,,1554.291141,1287.064266,1580.214426
1701.966683,2.27E-13,0,185,CommPL,2,4,,1647.441213,0.298514157,0,190,Plexe,2,2,,1674.539136,1679.200095,1619.439211
1540.788321,0,0,201,CommPL,2,2,,1808.329835,3.806530952,0,171,CommPL,2,3,,,,
1537.612758,0,0,202,CommPL,2,3,,1437.554412,579.2669541,0.133333333,189.8461538,CoOP,2,3,,,,
1688.707771,0,0,186,CommPL,2,4,,1546.426613,220.0975103,0.333333333,185,Plexe,2,3,,,,
1571.330186,0,0,198,CommPL,2,2,,1872.21938,55.96715834,0,163.0666667,CommPL,2,4,,,,
1616.140553,0,0,193,CommPL,2,3,,1708.047986,18.69828237,0,184.3333333,CoOP,2,4,,,,
1632.942953,0,0,192,CommPL,2,4,,1656.428647,2.896138998,0,189,Plexe,2,4,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,1549.813061,0.04992494,0,201,CommPL,2,2,,,,
,,,,,,,,1604.518779,74.50509191,0,196,CoOP,2,2,,,,
,,,,,,,,1529.918325,4.55E-13,0,203,Plexe,2,2,,,,
,,,,,,,,1715.772265,0.241312222,0,183,CommPL,2,3,,,,
,,,,,,,,761.4774913,839.9731756,0.533333333,191,CoOP,2,3,,,,
,,,,,,,,1541.043085,2.216426438,0,202,Plexe,2,3,,,,
,,,,,,,,1776.137154,0.067986927,0,176,CommPL,2,4,,,,
,,,,,,,,1678.788685,60.99670947,0,187.4666667,CoOP,2,4,,,,
,,,,,,,,1551.125373,1.207834683,0,201,Plexe,2,4,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,1706.912467,6.516856174,0,184.4,CommPL,2,2,,,,
,,,,,,,,1626.65563,28.42177383,0,194.8,CoOP,2,2,,,,
,,,,,,,,1596.008042,27.50178678,0,195,Plexe,2,2,,,,
,,,,,,,,1662.160895,0.08,0,190,CommPL,2,3,,,,
,,,,,,,,1659.435156,8.252983965,0,190.0666667,CoOP,2,3,,,,
,,,,,,,,1653.173579,0.605509072,0,190,Plexe,2,3,,,,
,,,,,,,,1801.08453,1.760887735,0,173.6,CommPL,2,4,,,,
,,,,,,,,1650.763613,41.30628294,0,191.0666667,CoOP,2,4,,,,
,,,,,,,,1634.868996,58.36369938,0,192.2666667,Plexe,2,4,,,,
