Wall time,Step,Value
1716550038.4343326,3000,1206.8870849609375
1716550238.96015,6000,1323.3040771484375
1716550433.0429096,9000,1500.9915771484375
1716550628.5360703,12000,1561.9488525390625
1716550824.1743376,15000,1642.1641845703125
1716551019.041169,18000,1629.7158203125
1716551213.5255811,21000,1675.439208984375
1716551407.309463,24000,1698.9864501953125
1716551602.6555712,27000,1707.43701171875
1716551802.314397,30000,1685.46484375
1716552000.2424219,33000,1750.2950439453125
1716552196.1479585,36000,1798.248779296875
1716552395.4148932,39000,1810.2977294921875
1716552592.7395647,42000,1739.28759765625
1716552787.0705156,45000,1732.6075439453125
1716552984.588313,48000,1769.44384765625
1716553180.1298738,51000,1791.1815185546875
1716553373.5875654,54000,1817.769775390625
1716553567.5032146,57000,1806.1370849609375
1716553756.5744703,60000,1804.956787109375
1716553949.9660985,63000,1822.4537353515625
1716554141.3048384,66000,1852.1104736328125
1716554335.3711917,69000,1841.5220947265625
1716554530.6737006,72000,1846.404541015625
1716554724.073589,75000,1854.9749755859375
1716554913.4130511,78000,1823.599853515625
1716555099.2705839,81000,1847.9122314453125
1716555292.488069,84000,1850.2052001953125
1716555487.4114366,87000,1825.801513671875
1716555681.8054483,90000,1787.189453125
1716555876.0405366,93000,1796.7193603515625
1716556064.3717859,96000,1797.0867919921875
1716556251.2886984,99000,1792.9852294921875
1716556440.076259,102000,1806.60546875
