Wall time,Step,Value
1715152378.4798834,3000,1656.3819580078125
1715152473.9048674,6000,1657.9898681640625
1715152567.305646,9000,1643.395751953125
1715152658.093351,12000,1601.33642578125
1715152748.0650735,15000,1604.3697509765625
1715152836.0259302,18000,1649.5250244140625
1715152923.8171103,21000,1692.9764404296875
1715153014.9395328,24000,1699.587158203125
1715153103.665204,27000,1730.8636474609375
1715153189.554066,30000,1759.7830810546875
1715153276.1052566,33000,1760.2803955078125
1715153367.6504362,36000,1736.293212890625
1715153461.390968,39000,1738.559326171875
1715153555.0319617,42000,1776.053955078125
1715153646.3839536,45000,1764.5811767578125
1715153744.1806126,48000,1772.38525390625
1715153841.836475,51000,1752.5919189453125
1715153935.690304,54000,1757.405517578125
1715154028.3569217,57000,1780.706787109375
1715154126.0298767,60000,1791.23583984375
1715154223.994336,63000,1783.84228515625
1715154323.5174813,66000,1743.7401123046875
1715154420.1295981,69000,1715.18017578125
1715154518.3648572,72000,1754.7960205078125
1715154615.7575948,75000,1773.4931640625
1715154713.6685028,78000,1756.888916015625
1715154812.0698564,81000,1806.0205078125
1715154909.232861,84000,1805.9136962890625
1715155007.1287825,87000,1786.6812744140625
1715155102.0739489,90000,1806.19287109375
1715155198.5150998,93000,1822.308837890625
1715155296.4765775,96000,1751.931396484375
1715155393.6609476,99000,1769.2076416015625
1715155491.8599021,102000,1807.9105224609375
