Wall time,Step,Value
1715268311.5575104,3000,1631.0970458984375
1715268414.652907,6000,1647.41455078125
1715268519.8573344,9000,1637.5362548828125
1715268622.89448,12000,1669.237548828125
1715268726.035852,15000,1688.539794921875
1715268829.3944342,18000,1734.0428466796875
1715268932.5486934,21000,1747.6170654296875
1715269036.915163,24000,1748.4248046875
1715269140.7306595,27000,1753.6904296875
1715269243.6200612,30000,1773.6748046875
1715269347.8371825,33000,1774.91796875
1715269451.1476579,36000,1741.7777099609375
1715269556.9915938,39000,1721.065673828125
1715269661.3433256,42000,1708.1705322265625
1715269765.2530258,45000,1786.5570068359375
1715269870.0539587,48000,1761.582763671875
1715269974.5960505,51000,1708.1181640625
1715270078.4769185,54000,1748.6068115234375
1715270182.2796843,57000,1761.8519287109375
1715270288.2322907,60000,1799.597412109375
1715270393.2699392,63000,1813.2237548828125
1715270499.396776,66000,1788.4205322265625
1715270604.2050176,69000,1783.509033203125
1715270709.1908069,72000,1804.100830078125
1715270814.0557885,75000,1796.5404052734375
1715270919.3822486,78000,1805.2508544921875
1715271024.6775064,81000,1806.558837890625
1715271129.5816329,84000,1795.9853515625
1715271235.6659524,87000,1801.8524169921875
1715271340.177679,90000,1818.1376953125
1715271445.3524973,93000,1818.7305908203125
1715271549.4879909,96000,1804.789794921875
1715271655.9802344,99000,1792.89697265625
1715271762.7379513,102000,1746.4078369140625
