Wall time,Step,Value
1715100785.4477599,6000,0.00214683567173779
1715100933.4531522,9000,0.0011207780335098505
1715101081.08316,12000,0.0005923716817051172
1715101228.3980744,15000,0.0006173174479044974
1715101374.6337922,18000,0.0006805820157751441
1715101522.9547808,21000,0.0015321142273023725
1715101658.952643,24000,0.002305899513885379
1715101792.8380685,27000,0.0007198763196356595
1715101927.4433258,30000,0.003411911427974701
1715102064.7779136,33000,0.0036738209892064333
1715102204.4317844,36000,0.004076378419995308
1715102342.3993146,39000,0.0029113537166267633
1715102481.5850976,42000,0.0015166520606726408
1715102620.1572165,45000,0.0015155059518292546
1715102759.610581,48000,0.0016963332891464233
1715102899.298951,51000,0.0016440898180007935
1715103037.7600188,54000,0.0012636196333914995
1715103177.3030932,57000,0.0005098726833239198
1715103316.0207596,60000,0.00043600017670542
1715103454.7992623,63000,0.0006771516636945307
1715103594.335224,66000,0.0004585576825775206
1715103733.7879653,69000,0.0003698220243677497
1715103871.9611998,72000,0.00032022196683101356
1715104011.343665,75000,0.00032709393417462707
1715104150.6628456,78000,0.00024346572172362357
1715104290.063631,81000,0.00024257770564872772
1715104428.4999876,84000,0.00037815060932189226
1715104567.5186536,87000,0.0002888048766180873
1715104706.3749907,90000,0.000248282914981246
1715104844.93422,93000,0.00021113496040925384
1715104983.8702419,96000,0.00025202249526046216
1715105122.6746418,99000,0.0005657885340042412
1715105261.1614306,102000,0.00025792582891881466
1715105343.4850557,102000,0.0001930505532072857
