Wall time,Step,Value
1715100636.0141435,3000,1654.865966796875
1715100785.4477599,6000,1656.6392822265625
1715100933.4521248,9000,1667.312255859375
1715101081.08316,12000,1684.28271484375
1715101228.3980744,15000,1702.7947998046875
1715101374.6327972,18000,1680.4434814453125
1715101522.9497933,21000,1633.8438720703125
1715101658.952643,24000,1652.8460693359375
1715101792.8370664,27000,1652.476806640625
1715101927.4433258,30000,1689.2213134765625
1715102064.7779136,33000,1746.758056640625
1715102204.4307837,36000,1781.035888671875
1715102342.3993146,39000,1823.3414306640625
1715102481.5850976,42000,1829.0675048828125
1715102620.1572165,45000,1824.5469970703125
1715102759.610581,48000,1808.1051025390625
1715102899.298951,51000,1809.7581787109375
1715103037.7590218,54000,1843.972900390625
1715103177.3030932,57000,1865.9764404296875
1715103316.01973,60000,1868.1038818359375
1715103454.7992623,63000,1868.216552734375
1715103594.330205,66000,1870.4259033203125
1715103733.7879653,69000,1871.35546875
1715103871.960195,72000,1870.44140625
1715104011.343665,75000,1872.1748046875
1715104150.6618483,78000,1874.393798828125
1715104290.063631,81000,1872.621826171875
1715104428.4989903,84000,1869.9100341796875
1715104567.5186536,87000,1870.3028564453125
1715104706.3739603,90000,1869.5150146484375
1715104844.93422,93000,1868.319580078125
1715104983.8702419,96000,1855.0924072265625
1715105122.6746418,99000,1856.9542236328125
1715105261.1614306,102000,1872.5277099609375
