Wall time,Step,Value
1713012596.3118157,3000,1583.8790283203125
1713012696.5070474,6000,1585.0462646484375
1713012792.6472826,9000,1610.3900146484375
1713012888.8015342,12000,1643.1964111328125
1713012984.1030798,15000,1697.2545166015625
1713013079.2568474,18000,1690.4193115234375
1713013173.9147813,21000,1695.8367919921875
1713013266.742367,24000,1691.408203125
1713013360.588641,27000,1693.66455078125
1713013454.2483516,30000,1667.4224853515625
1713013547.4781005,33000,1683.4732666015625
1713013640.5157347,36000,1695.5711669921875
1713013733.3875997,39000,1719.4537353515625
1713013826.137325,42000,1708.863037109375
1713013918.8212736,45000,1689.0887451171875
1713014011.7300541,48000,1701.3753662109375
1713014104.1146839,51000,1719.0242919921875
1713014196.7331915,54000,1724.70654296875
1713014289.230307,57000,1714.2852783203125
1713014382.3782747,60000,1701.455810546875
1713014475.4528887,63000,1698.4722900390625
1713014568.4945502,66000,1695.0616455078125
1713014661.6281245,69000,1692.631103515625
1713014754.7633665,72000,1680.1778564453125
1713014846.7979784,75000,1687.681640625
1713014940.349521,78000,1704.8182373046875
1713015033.4310682,81000,1705.5880126953125
1713015126.1810813,84000,1690.7738037109375
1713015218.941359,87000,1715.8197021484375
1713015311.7931533,90000,1717.480712890625
1713015416.3349943,93000,1716.39990234375
1713015508.9345548,96000,1725.9093017578125
1713015602.6445148,99000,1731.00927734375
1713015695.9048212,102000,1742.723876953125
