Wall time,Step,Value
1713262880.4889402,3000,1630.4188232421875
1713262974.9844112,6000,1608.123291015625
1713263073.797956,9000,1629.72314453125
1713263177.8930802,12000,1656.7322998046875
1713263278.3567307,15000,1699.0106201171875
1713263375.8789136,18000,1691.58740234375
1713263473.5217764,21000,1696.49462890625
1713263570.5336306,24000,1735.5616455078125
1713263668.5986788,27000,1780.7374267578125
1713263770.1221435,30000,1792.0347900390625
1713263871.9417562,33000,1790.8311767578125
1713263973.839883,36000,1805.9622802734375
1713264075.2372205,39000,1813.3023681640625
1713264175.8769932,42000,1856.3863525390625
1713264277.4036438,45000,1862.0225830078125
1713264379.346017,48000,1870.4615478515625
1713264480.4027305,51000,1885.07177734375
1713264581.6767716,54000,1887.3790283203125
1713264678.9452825,57000,1886.423828125
1713264773.7533875,60000,1870.5357666015625
1713264869.3090036,63000,1869.5142822265625
1713264962.4088788,66000,1871.1573486328125
1713265055.3128653,69000,1874.596923828125
1713265147.8068428,72000,1889.173828125
1713265241.17767,75000,1888.95751953125
1713265338.2038858,78000,1889.7991943359375
1713265438.7136412,81000,1882.3502197265625
1713265536.0751283,84000,1882.755859375
1713265634.9521341,87000,1892.4940185546875
1713265730.3607757,90000,1893.6556396484375
1713265826.8636146,93000,1893.157470703125
1713265921.752277,96000,1891.96044921875
1713266017.4686086,99000,1891.800048828125
1713266115.985124,102000,1890.7105712890625
