Value,Step
342.3455446,3000
1454.528293,6000
973.4507838,9000
399,12000
399,15000
1277.194377,18000
1485.711122,21000
399,24000
399,27000
533.5524383,30000
1038.750336,33000
1027.164449,36000
1039.085453,39000
620.5891089,42000
584.1247337,45000
632.1369125,48000
399.3,51000
205.8346535,54000
683.0873762,57000
1470.238579,60000
1098.049584,63000
1073.941416,66000
1210.312422,69000
371.793346,72000
343.054665,75000
322.599619,78000
1393.038336,81000
342.8977375,84000
1407.994754,87000
1524.152295,90000
1416.247541,93000
1466.082814,96000
1131.90308,99000
