mean_reward,std_reward,crash_count,mean_sim_time,Model_types,Hdv_intervals,Lane_counts
1656.170448,0.05,0,190,SmartPL,2,2
1672.588579,1.164805634,0,189.5,CoOP,2,2
1569.121268,0.299179741,0,190,Plexe,2,2
1762.251832,0.05,0,179,SmartPL,2,3
1761.349267,0,0,178,CoOP,2,3
1563.158766,0,0,191,Plexe,2,3
1708.405286,11.77265867,0,184,SmartPL,2,4
1702.602942,25.65168542,0,185,CoOP,2,4
1581.405956,0,0,189,Plexe,2,4
1668.177543,0,0,190,SmartPL,3,2
1672.588579,1.164805634,0,189.5,CoOP,3,2
1569.420448,0,0,190,Plexe,3,2
1806.806399,0.001606967,0,174,SmartPL,3,3
-23.15941489,0,1,,CoOP,3,3
1429.160537,257.3412947,0.5,179,Plexe,3,3
1762.772638,0,0,178,SmartPL,3,4
1689.899739,12.94848316,0,187,CoOP,3,4
1578.432425,2.950793105,0,189,Plexe,3,4
1591.841534,0,0,198,SmartPL,4,2
1672.588579,1.164805634,0,189.5,CoOP,4,2
1568.822088,0,0,190,Plexe,4,2
1811.998642,0,0,170,SmartPL,4,3
-23.15941489,0,1,,CoOP,4,3
1624.830299,61.67153306,0,185,Plexe,4,3
1729.404382,138.0432913,0,180.5,SmartPL,4,4
1710.012056,7.163833293,0,184.5,CoOP,4,4
1581.383218,0,0,189,Plexe,4,4
