mean_reward,std_reward,crash_count,mean_sim_time,Model_types,Hdv_intervals,Lane_counts,,,,,,,,,,,,,,,,,,time,,,
1893.971482,2.27E-13,0,160,ours,2,4,,1905.637161,0,0,161,ours,2,4,,1800.187578,0,0,174,ours,2,4,,165,6.377042157,1866.59874,47.20066298
1688.912473,2.27E-13,0,184,coop,2,4,,1674.216465,2.27E-13,0,185,coop,2,4,,1615.430723,0,0,191,coop,2,4,,186.67,3.091206165,1659.519887,31.74779729
1649.682755,2.27E-13,0,189,plexe,2,4,,1541.19773,0,0,201,plexe,2,4,,1579.924738,0,0,196,plexe,2,4,,195.33,4.921607687,1590.268408,44.88870525
1759.699092,0,0,178,ours,3,4,,1899.868243,2.27E-13,0,160,ours,3,4,,1868.228614,2.27E-13,0,161,ours,3,4,,166.33,8.259674462,1842.59865,60.02510045
1688.912473,2.27E-13,0,184,coop,3,4,,1674.216465,2.27E-13,0,185,coop,3,4,,1615.430723,0,0,191,coop,3,4,,186.67,3.091206165,1659.519887,31.74779729
1649.682755,2.27E-13,0,189,plexe,3,4,,1541.19773,0,0,201,plexe,3,4,,1579.924738,0,0,196,plexe,3,4,,195.33,4.921607687,1590.268408,44.88870525
1879.598659,0,0,159,ours,4,4,,1924.997163,0,0,158,ours,4,4,,1789.389119,0,0,175,ours,4,4,,164,7.788880964,1864.661647,56.36027647
1688.912473,2.27E-13,0,184,coop,4,4,,1674.216465,2.27E-13,0,185,coop,4,4,,1615.430723,0,0,191,coop,4,4,,186.67,3.091206165,1659.519887,31.74779729
1649.682755,2.27E-13,0,189,plexe,4,4,,1541.19773,0,0,201,plexe,4,4,,1579.924738,0,0,196,plexe,4,4,,195.33,4.921607687,1590.268408,44.88870525
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15,,,,,,,,,,,,,,,,,
