Wall time,Step,Value
1715338898.3300538,3000,876.8489990234375
1715339052.370466,6000,846.3925170898438
1715339189.4474103,9000,989.3078002929688
1715339324.9720078,12000,1190.830322265625
1715339455.998124,15000,1337.3795166015625
1715339580.2235942,18000,1496.680908203125
1715339706.874826,21000,1625.0435791015625
1715339831.6621644,24000,1657.7501220703125
1715339956.4250433,27000,1715.3402099609375
1715340087.6818118,30000,1675.0245361328125
1715340219.8282619,33000,1626.4178466796875
1715340352.7644389,36000,1595.9212646484375
1715340487.5192664,39000,1516.006591796875
1715340614.9943829,42000,1622.132080078125
1715340747.7225304,45000,1606.4395751953125
1715340880.8900251,48000,1543.244140625
1715341015.1203327,51000,1519.57666015625
1715341149.1594281,54000,1466.650146484375
1715341281.3634062,57000,1512.2108154296875
1715341416.449617,60000,1469.6292724609375
1715341549.8994772,63000,1417.61572265625
1715341682.882074,66000,1484.641357421875
1715341811.012436,69000,1573.9052734375
1715341934.7631054,72000,1628.1622314453125
1715342060.4068909,75000,1653.4029541015625
1715342184.016837,78000,1680.27734375
1715342309.6725733,81000,1731.515869140625
1715342436.7367234,84000,1744.218505859375
1715342566.4786339,87000,1768.4730224609375
1715342691.9659479,90000,1768.563232421875
1715342819.514442,93000,1754.3575439453125
1715342945.6834521,96000,1754.4451904296875
1715343072.78414,99000,1754.550048828125
1715343200.3775446,102000,1768.95654296875
