Reward,Step
-903.3950169883825,3000
-825.7110274074835,6000
-322.4354729662996,9000
-926.3851972047565,12000
-922.4970740758358,15000
-283.9590664822353,18000
-1084.6670818797802,21000
-1097.7543464141881,24000
-1065.0252885367756,27000
-803.7710229428812,30000
-1060.9468761960666,33000
-1069.0798786963499,36000
-1013.5192726182586,39000
-291.1769863459805,42000
-1007.1936642892173,45000
-1211.2150201543027,48000
-677.9939048470941,51000
-322.0540068427754,54000
-1233.5070832618026,57000
-346.2436630884508,60000
-177.5388192960777,63000
-1042.938288813282,66000
-167.34021269053278,69000
-234.6052307330277,72000
-1399.679024262962,75000
-809.8988652138484,78000
-1454.8419049690583,81000
-235.87216391011202,84000
-1291.4202810567767,87000
-1145.37770306436,90000
-176.21125414475492,93000
-1032.96726387246,96000
-179.94156395450023,99000
