Reward,Step
-1266.938545150011,3000
-978.8807995469278,6000
-994.7916256326929,9000
-1377.015019972052,12000
-696.0974408077351,15000
-1144.9170349,18000
-764.903825877284,21000
-876.9563322262228,24000
-618.5857801314346,27000
-615.7067646638516,30000
-586.7250834527674,33000
-921.2992016664706,36000
-1684.3146705508395,39000
-1470.8964718690788,42000
-1389.7351998477577,45000
-249.28294035391392,48000
-1277.5270230249814,51000
-1308.903986348754,54000
-406.78347725166446,57000
-791.5966253142318,60000
-1100.168729814222,63000
-908.8035532137668,66000
-1553.408503130963,69000
-941.3692259774604,72000
-1066.7783792989405,75000
-120.80147742082568,78000
-618.5857801314346,81000
-818.1584399248583,84000
-228.9634164962572,87000
-497.1198596693793,90000
-245.36825326951484,93000
-1396.4074439988897,96000
-157.79410485868328,99000
